hn_count,hn_uptime,wait,test_per_slots,hn_to_juror,hn_to_hn,juror_to_juror,size_round,bps_per_node,mean_path,time_to_sync,disconnected,avg_degree,avg_degree_juror,min_degree_juror,max_degree_juror,avg_degree_non_juror
200,0.9,10,5,2,6,6,11205577408.0,124506.0,2.2461824953445046,30.0,0.0,12.730000000000013,11.26775956284154,28.47058823529414,0.0,39.0
200,0.9,10,5,2,6,7,11575282240.0,128614.0,2.2371944994895836,30.0,0.0,13.15000000000001,11.883977900552502,25.21052631578945,0.0,35.0
200,0.9,10,5,2,6,8,11777739648.0,130863.0,2.2297728667894385,30.0,0.0,13.380000000000022,11.314917127071816,33.0526315789474,22.0,45.0
200,0.9,10,5,2,6,9,11918579584.0,132428.0,2.22958870472683,30.0,0.0,13.539999999999981,11.307692307692298,36.111111111111185,25.0,44.0
200,0.9,10,5,2,6,10,11742529664.0,130472.0,2.238671632526378,30.0,0.0,13.34,11.219780219780212,34.77777777777782,0.0,44.0
200,0.9,10,5,2,6,11,11416837312.0,126853.0,2.2630448127685634,30.0,0.0,12.97000000000002,11.414364640883978,27.789473684210535,0.0,41.0
200,0.9,10,5,2,6,12,12138641984.0,134873.0,2.237569060773475,30.0,0.0,13.78999999999998,11.596685082872916,34.68421052631583,0.0,47.0
200,0.9,10,5,2,7,6,11839357120.0,131548.0,2.173793103448276,30.0,0.0,13.450000000000024,12.285714285714294,25.222222222222186,0.0,37.0
200,0.9,10,5,2,7,7,12772421696.0,141915.0,2.1672636755509695,30.0,0.0,14.509999999999993,13.027624309392262,28.631578947368368,0.0,37.0
200,0.9,10,5,2,7,8,13379793920.0,148664.0,2.159063910667614,30.0,0.0,15.200000000000028,13.2967032967033,34.44444444444437,28.0,40.0
200,0.9,10,5,2,7,9,12684396736.0,140937.0,2.16679081315953,30.0,0.0,14.410000000000016,12.801104972375695,29.736842105263204,0.0,44.0
200,0.9,10,5,2,7,10,12904459136.0,143382.0,2.164866542520173,30.0,0.0,14.660000000000018,13.021978021978013,31.222222222222182,0.0,40.0
200,0.9,10,5,2,7,11,13555843840.0,150620.0,2.1471454880294716,30.0,0.0,15.400000000000016,12.956043956043931,40.1111111111112,33.0,47.0
200,0.9,10,5,2,7,12,11812949632.0,131254.0,2.184298964914634,30.0,0.0,13.420000000000002,12.198895027624305,25.05263157894737,0.0,42.0
200,0.9,10,5,2,8,6,12367506880.0,137416.0,2.1012878524190706,30.0,0.0,14.049999999999976,13.143646408839768,22.684210526315823,0.0,34.0
200,0.9,10,5,2,8,7,14136808576.0,157075.0,2.0897334709489424,30.0,0.0,16.06,14.895027624309414,27.157894736842085,0.0,38.0
200,0.9,10,5,2,8,8,13415003904.0,149055.0,2.1055469953775012,30.0,0.0,15.240000000000004,14.154696132596662,25.578947368421087,0.0,38.0
200,0.9,10,5,2,8,9,13494226368.0,149935.0,2.0956493506493525,30.0,0.0,15.329999999999986,14.093922651933715,27.10526315789471,0.0,42.0
200,0.9,10,5,2,8,10,15906110272.0,176734.0,2.0628729032984334,30.0,0.0,18.069999999999983,15.988950276243086,37.89473684210532,32.0,44.0
200,0.9,10,5,2,8,11,14471303424.0,160792.0,2.077777777777781,30.0,0.0,16.44,14.414364640883981,35.73684210526322,0.0,45.0
200,0.9,10,5,2,8,12,14286451008.0,158738.0,2.086435252024358,30.0,0.0,16.230000000000015,14.384615384615406,34.88888888888882,0.0,46.0
200,0.9,10,5,2,9,6,14585735872.0,162063.0,2.0309450436569114,30.0,0.0,16.569999999999954,15.743169398907114,25.47058823529414,0.0,37.0
200,0.9,10,5,2,9,7,13503028864.0,150033.0,2.0286415121564114,30.0,0.0,15.33999999999999,14.04945054945053,28.38888888888885,0.0,38.0
200,0.9,10,5,2,9,8,16214197632.0,180157.0,2.010028223142975,30.0,0.0,18.420000000000027,16.86187845303864,33.263157894736786,25.0,43.0
200,0.9,10,5,2,9,9,16082160192.0,178690.0,2.0157929502191796,30.0,0.0,18.269999999999985,16.773480662983435,32.52631578947373,0.0,42.0
200,0.9,10,5,2,9,10,16152580160.0,179473.0,2.0251606317180038,30.0,0.0,18.34999999999997,16.613259668508295,34.894736842105324,0.0,45.0
200,0.9,10,5,2,9,11,15254725568.0,169496.0,2.0277446487979423,30.0,0.0,17.32999999999998,16.215469613259696,27.947368421052616,0.0,46.0
200,0.9,10,5,2,9,12,16909594816.0,187884.0,2.015809357744842,30.0,0.0,19.210000000000026,17.263736263736288,38.88888888888881,0.0,47.0
200,0.9,10,5,2,10,6,17745831936.0,197175.0,1.970099476740842,20.0,0.0,20.160000000000036,19.109890109890106,30.777777777777818,23.0,45.0
200,0.9,10,5,2,10,7,17552177024.0,195024.0,1.9606794963174174,20.0,0.0,19.94000000000004,18.740331491712656,31.36842105263164,20.0,41.0
200,0.9,10,5,2,10,8,16891989824.0,187688.0,1.9815648832042234,20.0,0.0,19.19000000000004,18.49723756906081,25.78947368421054,0.0,42.0
200,0.9,10,5,2,10,9,16751149888.0,186123.0,1.973196911681631,20.0,0.0,19.029999999999976,17.35519125683056,37.05882352941172,29.0,43.0
